year,era,zone,x,y,plate_x,plate_z,pitch_type,description,outcome
2014,Pre-Statcast (2014 MVP Runner-Up),2,2,3,0.23150741678713263,3.324530050947044,FF,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.14691440474253148,2.2361866355556868,SI,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.4508416050434101,2.253832622613217,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.3116591606951752,2.613958731368527,FF,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),6,3,2,0.6461343468419893,2.6469107345462826,FF,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.05297422140537455,2.089877769275629,SI,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.630426497958197,2.253815140736676,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.5947840088686186,3.354943041413694,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.1843913702634263,1.65998057341811,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.5859325428632234,3.3946293682228568,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.497008576742174,2.0807668644151542,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.6932587376045739,3.661161091903043,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,-0.1182808043622909,2.937920669141871,KC,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.8252168998167622,3.5663470317172137,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.10770369705160712,1.7228424651663037,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.5245415925045489,2.661962427638505,SL,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),3,3,3,0.3305011290766925,3.663452988695131,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.768235634883731,3.0717370334275325,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.08066250854689266,2.3563855647177254,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.47448277943387185,1.8144643180818036,SL,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.36941227152247785,1.9416182728032616,SL,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),5,2,2,0.09570606957701784,3.0712174880929317,FF,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),1,1,3,-0.7735858447922107,3.078253347143605,CH,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP Runner-Up),7,1,1,-0.5443980709701657,1.7250986843591298,CH,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,-0.0667038811386153,2.2565391150158463,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),8,2,1,0.24585723752409583,2.2650452375612975,CH,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),4,1,2,-0.374012203750234,2.390390626660931,CU,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.4217277120480238,2.2650560852261665,FC,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP Runner-Up),9,3,1,0.6056146053260043,1.9302786236967424,SI,foul,Contact / Foul
