year,era,zone,x,y,plate_x,plate_z,events,outcome
2017,Post-Statcast (2017 MVP),8,2,1,-0.04936684551648585,2.024858671453954,double,Hit
2017,Post-Statcast (2017 MVP),9,3,1,0.32376152314323936,1.4867538370476496,strikeout,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.3847244685713832,3.114801944883841,strikeout,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.6130233091002346,2.2651015618578563,field_out,Out
2017,Post-Statcast (2017 MVP),9,3,1,0.7590316213272245,1.9373138094837103,field_out,Out
2017,Post-Statcast (2017 MVP),9,3,1,0.6514544554433604,2.266905435823174,field_out,Out
2017,Post-Statcast (2017 MVP),4,1,2,-0.5915146637306274,2.40031768256838,single,Hit
2017,Post-Statcast (2017 MVP),6,3,2,0.4358768111589101,2.256408117818346,single,Hit
2017,Post-Statcast (2017 MVP),4,1,2,-0.80162308632114,2.3282879042337266,field_out,Out
2017,Post-Statcast (2017 MVP),9,3,1,0.7001138197597822,1.5128836838176034,field_out,Out
2017,Post-Statcast (2017 MVP),5,2,2,0.07329112518268566,2.95094743332564,home_run,Hit
2017,Post-Statcast (2017 MVP),9,3,1,0.7290910990008883,1.7443703437849218,field_out,Out
2017,Post-Statcast (2017 MVP),7,1,1,-0.7076079603746326,2.0402304927099273,home_run,Hit
2017,Post-Statcast (2017 MVP),4,1,2,-0.5481153579079594,2.8876725388964237,field_out,Out
2017,Post-Statcast (2017 MVP),8,2,1,0.1919074667371658,2.079726476887125,field_out,Out
2017,Post-Statcast (2017 MVP),7,1,1,-0.762011971433787,1.5048271620524996,field_out,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.6094459657987373,2.479087166392192,home_run,Hit
2017,Post-Statcast (2017 MVP),5,2,2,0.2592618492845701,2.572883607650239,home_run,Hit
2017,Post-Statcast (2017 MVP),4,1,2,-0.3747575167377366,2.412576600110082,single,Hit
2017,Post-Statcast (2017 MVP),6,3,2,0.4767373952012244,2.4640683237283207,single,Hit
2017,Post-Statcast (2017 MVP),9,3,1,0.28852759132061223,2.2804421653731204,field_out,Out
2017,Post-Statcast (2017 MVP),9,3,1,0.6865377274351996,1.5772067010710824,strikeout,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.6709570371812441,2.6275950055784763,strikeout,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.7902530489457757,2.6141433167143733,field_out,Out
2017,Post-Statcast (2017 MVP),8,2,1,0.19893952793072844,1.9256378832525165,field_out,Out
2017,Post-Statcast (2017 MVP),9,3,1,0.6918826461179606,2.0607411270053273,strikeout,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.6953142611734603,2.7670394048478117,field_out,Out
2017,Post-Statcast (2017 MVP),6,3,2,0.5887080232337791,2.549681796446298,field_out,Out
2017,Post-Statcast (2017 MVP),9,3,1,0.659165911372892,2.4178541618961535,field_out,Out
2017,Post-Statcast (2017 MVP),3,3,3,0.4686075164380256,3.40799190678237,home_run,Hit
2017,Post-Statcast (2017 MVP),8,2,1,0.04932279801542028,2.1872262664757063,single,Hit
2017,Post-Statcast (2017 MVP),8,2,1,0.09087223887401684,2.303075561127405,field_out,Out
2017,Post-Statcast (2017 MVP),8,2,1,0.17039603683499627,2.125488832795498,field_out,Out
2017,Post-Statcast (2017 MVP),5,2,2,-0.06564606403913481,2.558771818237827,field_out,Out
2017,Post-Statcast (2017 MVP),5,2,2,0.19426993659892688,3.069463482713388,strikeout,Out
2017,Post-Statcast (2017 MVP),7,1,1,-0.32505473019850717,2.1571883602108968,home_run,Hit
