year,era,zone,x,y,plate_x,plate_z,events,outcome
2014,Pre-Statcast (2014 MVP),7,1,1,-0.341560292268292,1.9228579241749104,double,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.33826517567300396,2.5329867834682047,field_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.5913734097924621,2.340959187495278,field_out,Out
2014,Pre-Statcast (2014 MVP),1,1,3,-0.5727515460783024,3.4803881794250113,strikeout,Out
2014,Pre-Statcast (2014 MVP),8,2,1,-0.2461559638579719,1.6492026460564362,field_out,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.1022051622561534,2.951472095866567,single,Hit
2014,Pre-Statcast (2014 MVP),4,1,2,-0.2904339424378206,2.680253272093601,field_out,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.5998360628062163,2.829764517229686,strikeout,Out
2014,Pre-Statcast (2014 MVP),6,3,2,0.42416459274524665,2.6079456447004903,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.3036804322802781,2.227149412456594,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.3039397724679781,2.115842432652097,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.5191557791250477,2.167289855629181,field_out,Out
2014,Pre-Statcast (2014 MVP),8,2,1,0.12985258105335845,1.6202662108991102,field_out,Out
2014,Pre-Statcast (2014 MVP),4,1,2,-0.30507308596945404,2.3929997841764097,field_out,Out
2014,Pre-Statcast (2014 MVP),9,3,1,0.6507340798608214,1.6401370018820736,double,Hit
2014,Pre-Statcast (2014 MVP),5,2,2,-0.05137007285040007,2.666515486941112,single,Hit
2014,Pre-Statcast (2014 MVP),3,3,3,0.5707022382398022,3.1925334186810823,strikeout,Out
2014,Pre-Statcast (2014 MVP),8,2,1,-0.03111112032295711,1.937064415884033,strikeout,Out
2014,Pre-Statcast (2014 MVP),2,2,3,-0.27367828612233647,3.1020640612626975,strikeout,Out
2014,Pre-Statcast (2014 MVP),5,2,2,-0.20450034923970617,2.7194237689379346,home_run,Hit
2014,Pre-Statcast (2014 MVP),9,3,1,0.4436512303300011,1.9442739662337951,single,Hit
